"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"NUDT2",-0.0598891304347828,0.0331489130434783,-0.32718288288218,0.746273668631827,0.957100208014784,-4.89600530613303,"NO"
"EREG",0.0931478260869567,0.0245217391304348,0.3269152586848,0.746473645993493,0.957100208014784,-4.89604878307648,"NO"
"PCDH17",0.0366826086956523,0.13385,0.326802633558956,0.74655780850965,0.957100208014784,-4.89606706911654,"NO"
"SPART",0.0625108695652173,0.0206619565217391,0.326075987935207,0.747100893424387,0.95732662730547,-4.89618489925192,"NO"
"UBAC1",0.0385304347826088,0.113147826086957,0.325689972331937,0.747389450397222,0.95732662730547,-4.89624738880511,"NO"
"TBCC",0.0931391304347826,-0.108795652173913,0.325142342617634,0.747798882701783,0.957327035771791,-4.89633591566364,"NO"
"DPT",0.0319608695652174,0.0397630434782609,0.324414043180362,0.748343508710036,0.957327035771791,-4.8964534207756,"NO"
"THOP1",-0.0354543478260869,0.13943152173913,-0.323868564251049,0.748751507948747,0.957327035771791,-4.89654125893604,"NO"
"LGALS3BP",0.0336260869565217,0.0662413043478261,0.323848731221516,0.748766343771575,0.957327035771791,-4.89654444988818,"NO"
"MCAM",-0.0297000000000001,0.0341239130434782,-0.323499836899371,0.749027345470436,0.957327035771791,-4.8966005522305,"NO"
"CIAPIN1",0.0693391304347826,-0.0225978260869565,0.32277435543068,0.749570163057362,0.957435415947141,-4.8967170187888,"NO"
"TMSB10",-0.075445652173913,-0.0111315217391304,-0.322510992327783,0.749767248410197,0.957435415947141,-4.8967592344215,"NO"
"ERP44",-0.0330347826086956,0.00787391304347826,-0.321484402177684,0.750535653136338,0.957828474859031,-4.89692346629005,"NO"
"LAMP1",-0.0255086956521739,0.0445847826086956,-0.321074883500922,0.750842252022841,0.957828474859031,-4.89698883602784,"NO"
"ELAC1",-0.0823782608695652,-0.0184630434782609,-0.320786595263106,0.75105811302665,0.957828474859031,-4.89703480491602,"NO"
"SOWAHA",0.0427826086956521,0.0258,0.318791595609981,0.752552470798316,0.95879420927562,-4.89735179931828,"NO"
"CSF3R",0.0229260869565218,0.105128260869565,0.318780989276451,0.752560418126975,0.95879420927562,-4.89735347938695,"NO"
"PKD2",0.0586565217391303,0.202989130434783,0.31846203731201,0.752799421925265,0.95879420927562,-4.8974039763517,"NO"
"CASP2",0.0740608695652171,-0.045695652173913,0.315295040906619,0.755173943560798,0.961399580587201,-4.8979026708582,"NO"
"SCGB3A2",0.1407,-0.0124326086956522,0.31362482049158,0.756427217550741,0.961820852360653,-4.89816369086997,"NO"
"CWC15",0.0540652173913043,0.231628260869565,0.313333541753033,0.756645852526205,0.961820852360653,-4.89820907129212,"NO"
"MDGA1",-0.0533739130434782,-0.128482608695652,-0.31313682535776,0.756793520331005,0.961820852360653,-4.89823969559357,"NO"
"CRYZL1",0.0887413043478261,-0.0839532608695652,0.312826492667904,0.757026494895596,0.961820852360653,-4.89828796875231,"NO"
"CCL28",0.0700717391304349,0.0796989130434782,0.312582169190405,0.757209931173118,0.961820852360653,-4.89832594071104,"NO"
"ENTPD5",-0.0252565217391305,-0.0395108695652174,-0.31187609850093,0.757740125436955,0.961820852360653,-4.8984355111442,"NO"
"DDT",0.0362434782608696,0.202365217391304,0.310909926359234,0.758465828028685,0.961820852360653,-4.89858504824702,"NO"
"BSG",0.0225434782608696,0.0738717391304348,0.310787988065026,0.758557433301162,0.961820852360653,-4.8986038883858,"NO"
"EPHA4",-0.0335847826086956,0.0553445652173913,-0.310582127888033,0.758712092451387,0.961820852360653,-4.89863567834539,"NO"
"CD59",-0.0232173913043478,0.0761130434782609,-0.310471277689405,0.758795376511689,0.961820852360653,-4.89865278776598,"NO"
"TPD52L2",-0.103476086956522,-0.237244565217391,-0.309477555543066,0.759542113186429,0.962350063651466,-4.89880589643169,"NO"
"FOXO1",0.0955521739130433,-0.0936347826086956,0.308482962907187,0.760289742328194,0.962601457119396,-4.89895865347173,"NO"
"SLC13A1",-0.0779173913043479,0.204428260869565,-0.308094463322688,0.760581839676952,0.962601457119396,-4.89901819017269,"NO"
"GPC1",0.0278065217391304,0.0821380434782609,0.307899436187273,0.760728486467945,0.962601457119396,-4.89904804969163,"NO"
"CEMIP2",0.0241695652173914,0.139236956521739,0.307433062960173,0.761079203573332,0.962628521005992,-4.89911937771902,"NO"
"ITGB6",-0.0275152173913044,0.00731413043478261,-0.306309964186885,0.761923998275548,0.96325248262133,-4.89929070803366,"NO"
"ARFIP1",0.0652260869565218,0.058304347826087,0.305901115909321,0.762231608724987,0.96325248262133,-4.89935292452269,"NO"
"APOC1",0.0387108695652173,0.0735815217391304,0.304856399753343,0.763017816298532,0.963829333206832,-4.89951153104662,"NO"
"NADK",-0.0540173913043478,0.244391304347826,-0.304186269468761,0.763522263664497,0.964049925136641,-4.89961298634869,"NO"
"PDLIM5",0.117239130434783,-0.324967391304348,0.302792746226048,0.764571593446588,0.964812341781457,-4.89982325391971,"NO"
"STX7",-0.0343086956521739,0.0530195652173913,-0.302183411656844,0.765030569688743,0.964812341781457,-4.89991489592391,"NO"
"F11R",-0.0549630434782609,0.003625,-0.302069580649728,0.765116321672739,0.964812341781457,-4.89993199551352,"NO"
"EGLN1",-0.0461065217391304,0.192335869565217,-0.30123648087958,0.765744011286649,0.965187470888691,-4.90005694905713,"NO"
"RBP5",0.0631869565217393,0.334645652173913,0.29995580274117,0.7667092420855,0.965987549403412,-4.90024836765706,"NO"
"GDF2",0.0372478260869564,0.0124804347826087,0.298640244778137,0.767701161612805,0.966346229029738,-4.90044415978158,"NO"
"UHRF2",-0.0423608695652174,0.0380282608695652,-0.298582077067617,0.767745028911422,0.966346229029738,-4.90045279712699,"NO"
"FKBP4",0.0524304347826087,-0.0281978260869565,0.298262927286155,0.767985730426302,0.966346229029738,-4.90050015818391,"NO"
"PSIP1",0.0533195652173912,0.148088043478261,0.297257363476825,0.768744277918573,0.966700742554544,-4.90064905380735,"NO"
"BTNL10",-0.0415304347826086,0.020545652173913,-0.297012644071256,0.768928917700758,0.966700742554544,-4.90068521459003,"NO"
"HCLS1",-0.0581869565217391,-0.0964239130434783,-0.295488726710739,0.770079019724231,0.966823591673818,-4.90090973212961,"NO"
"FGF12",-0.0214,0.0270739130434783,-0.295383224917327,0.770158661941846,0.966823591673818,-4.90092523333645,"NO"
"SNCA",-0.107702173913044,0.148698913043478,-0.294816469527183,0.770586543766292,0.966823591673818,-4.90100841204914,"NO"
