"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"CSF3R",-0.0569517614311754,-0.431444725738396,-1.13533085822038,0.256811744910942,0.492666277193699,-6.38567718943472,"NO"
"IL31RA",-0.0559025095361698,-0.173390717299578,-1.13454641387949,0.257140110751447,0.492966469007454,-6.38656003743849,"NO"
"IFNG",-0.145098191795946,0.316165717299578,-1.13367370920477,0.257505765440074,0.49327224234202,-6.38754150435564,"NO"
"EGLN1",-0.0800317461669942,-0.0909856540084387,-1.13334498600838,0.257643591014068,0.49327224234202,-6.38791100046847,"NO"
"PSPN",-0.110777039160809,-0.1249444092827,-1.13203275060942,0.258194290576288,0.493996814791723,-6.38938493608703,"NO"
"KDM3A",-0.120914328748802,-0.0167319620253164,-1.13138428022908,0.258466733090671,0.494188393669363,-6.39011268725161,"NO"
"HS3ST3B1",0.110571899740932,-0.354430696202531,1.1308809352574,0.258678341676981,0.494263480299522,-6.39067728434868,"NO"
"TBC1D17",0.0589495022675472,0.1395,1.13014082859764,0.258989704689917,0.494528943442531,-6.3915070008762,"NO"
"L3HYPDH",-0.0871748914053866,0.00763544303797472,-1.12749492158054,0.260104968056079,0.496328042837548,-6.39446884819095,"NO"
"OSCAR",-0.0428816164992545,0.0168467299578059,-1.12670305969703,0.260439389259196,0.496635750262882,-6.39535392159416,"NO"
"GSTP1",0.0964788130569135,0.348766772151898,1.12563134830403,0.260892472368256,0.497169176579507,-6.39655080115817,"NO"
"ENO1",-0.0746771638327536,0.00402236286919828,-1.12434544348846,0.261436830562264,0.497875717166383,-6.3979853952666,"NO"
"FCN1",-0.077928407756046,-0.281997573839662,-1.12342890172608,0.261825307878442,0.49804613383947,-6.39900692129334,"NO"
"CIAPIN1",-0.0761416686062193,0.128235126582278,-1.12331496122249,0.261873629647811,0.49804613383947,-6.39913385507975,"NO"
"IL36A",0.210664970905197,-0.0615431434599156,1.12134423638546,0.262710385414154,0.499306418401454,-6.4013272866915,"NO"
"SCN3A",-0.229448509525771,-0.81646128691983,-1.11608688492215,0.264951673180841,0.503232714359371,-6.40716001640158,"NO"
"TNFRSF4",0.0523960795871787,0.0130091772151899,1.11567478806788,0.265127913216687,0.503234186039351,-6.40761606185759,"NO"
"RFC4",-0.0385348214836694,-0.154070253164557,-1.1136473098633,0.265996177612384,0.504377559132119,-6.40985732342487,"NO"
"NUMB",-0.087904360670431,-0.0903181434599157,-1.11304991971038,0.266252383132223,0.504377559132119,-6.41051693073023,"NO"
"NEO1",-0.0267454918446295,-0.127094620253165,-1.11263710074105,0.266429530260841,0.504377559132119,-6.41097253837732,"NO"
"IL9",-0.163671157666644,0.0624064345991562,-1.11229842019739,0.266574924165082,0.504377559132119,-6.41134619760861,"NO"
"PIBF1",-0.100638286198847,-0.188339767932489,-1.11205014894136,0.266681540584101,0.504377559132119,-6.41162003826503,"NO"
"ESPL1",-0.0966671062400879,0.248150632911392,-1.11180817693906,0.266785480196452,0.504377559132119,-6.41188687239533,"NO"
"KLRF1",-0.0895984109635843,-0.0465476793248945,-1.11115517611062,0.267066117662729,0.504575510841046,-6.41260667944823,"NO"
"SLAMF8",0.0752972865102683,-0.0852090717299578,1.11037566718089,0.267401390581372,0.504876358253702,-6.41346538638909,"NO"
"HDAC8",-0.181897772666562,-0.219324894514768,-1.10941725372438,0.267814009466297,0.505322749440355,-6.41452035290891,"NO"
"GPD1",-0.0959131164266386,-0.128218248945148,-1.10860891609043,0.268162358351983,0.50564736604437,-6.41540942010502,"NO"
"CCL14",-0.046303867410175,0.124402848101266,-1.10790214407256,0.268467193850318,0.505889561079312,-6.41618624998434,"NO"
"TSPAN8",0.118707290958976,-0.200823839662447,1.1068568217469,0.268918485920207,0.50629967611669,-6.41733428506209,"NO"
"MUC16",0.121770058825797,-0.402377742616034,1.10658041912957,0.26903790320845,0.50629967611669,-6.41763766662059,"NO"
"CSTB",-0.0562097947043349,0.0883689873417722,-1.10528942753215,0.26959614820883,0.506593936926909,-6.41905367035322,"NO"
"VAT1",-0.034225053751253,-0.0438907172995781,-1.10522371826959,0.269624583231124,0.506593936926909,-6.41912569854206,"NO"
"HMGCS1",-0.0926218227108585,-0.165030485232068,-1.10492238595814,0.269755008195245,0.506593936926909,-6.41945595389135,"NO"
"CREB3",-0.137588968908797,-0.547020780590718,-1.10429822614672,0.270025299926796,0.506593936926909,-6.42013973800366,"NO"
"C7",0.0525759306475404,-0.110354008438819,1.10417784787903,0.270077451032512,0.506593936926909,-6.4202715714679,"NO"
"DIABLO",-0.129123697890238,0.464876160337553,-1.10258874293385,0.270766543618194,0.507554540586261,-6.42201055551172,"NO"
"SCGB2A2",0.0677438661191551,-0.119156329113924,1.09980925420886,0.271974733306906,0.509080632817405,-6.42504620609802,"NO"
"TRIM25",-0.119872340821761,0.0546661392405063,-1.099431452128,0.272139241914334,0.509080632817405,-6.42545823851028,"NO"
"TEF",-0.0612674593722575,0.00378586497890296,-1.09918284647214,0.272247531021019,0.509080632817405,-6.42572929197215,"NO"
"SLC13A1",-0.101659644028819,0.369216772151899,-1.09897255399562,0.272339154543969,0.509080632817405,-6.42595852516247,"NO"
"MVK",0.1018335247633,0.0660087552742615,1.09867647479068,0.272468190855899,0.509080632817405,-6.42628119779052,"NO"
"COMT",-0.0874306343544721,0.165909599156118,-1.0957473396859,0.273747018839834,0.510930222088842,-6.42946876289055,"NO"
"KYNU",0.0570045166542035,0.151786181434599,1.09559322316477,0.273814418183595,0.510930222088842,-6.42963624227237,"NO"
"CFC1",-0.0635553373708716,-0.0217561181434599,-1.09228804362284,0.275262601747932,0.513298531738017,-6.43322236025142,"NO"
"CLSTN2",-0.0493561956142813,-0.0145724683544304,-1.09008021028103,0.276232893264607,0.514470932231579,-6.43561185264278,"NO"
"BANK1",0.111750740664176,0.00967500000000002,1.08987462292372,0.276323363067371,0.514470932231579,-6.43583411077432,"NO"
"ST3GAL1",-0.0595218808569925,-0.0509435654008439,-1.08963357036339,0.276429465330845,0.514470932231579,-6.43609465680645,"NO"
"BNIP3L",-0.0609438376878855,0.142480379746836,-1.08850542979347,0.276926400683637,0.515061554578905,-6.43731326584285,"NO"
"IL5",0.321988371512229,-0.595399050632912,1.08773451839681,0.277266330980318,0.515061910075956,-6.43814527621068,"NO"
"REST",-0.14171704445118,-0.288468143459916,-1.08749783205956,0.277370754066536,0.515061910075956,-6.43840060356694,"NO"
"TNFRSF14",-0.0397529390278337,0.0864585443037975,-1.08650293036708,0.277809986278067,0.515061910075956,-6.43947325743583,"NO"
"ACYP1",0.0661621624312212,0.0887114978902954,1.08643460894907,0.277840166448338,0.515061910075956,-6.43954688237063,"NO"
"RLN1",-0.126263453086116,0.26458417721519,-1.08636905561457,0.277869125955937,0.515061910075956,-6.43961752001625,"NO"
"CPA4",-0.0514577763543139,0.0974370253164557,-1.08606352560743,0.278004127195809,0.515061910075956,-6.43994669096004,"NO"
"PHACTR2",-0.121618510246381,0.114799683544304,-1.08476044052486,0.278580410189913,0.515228821250634,-6.44134957026182,"NO"
"HEPACAM2",0.0463671414036721,0.0321007383966245,1.0847305886476,0.278593621583285,0.515228821250634,-6.44138168865191,"NO"
"FGD3",0.094228865554591,-0.026809388185654,1.08464125605372,0.278633159609391,0.515228821250634,-6.44147779859618,"NO"
"BRD2",0.0948431876853353,-0.248718776371308,1.083309055285,0.279223237461682,0.515987271288727,-6.44291013426896,"NO"
"STAU1",0.0845366372360873,0.145382805907173,1.08196975548651,0.279817318435949,0.516608829270363,-6.44434833698715,"NO"
"ASAH1",-0.050935805168373,-0.0954974683544304,-1.08159854015319,0.279982132992703,0.516608829270363,-6.44474665202286,"NO"
"PSMD5",-0.0747122641062891,0.0771160337552743,-1.08133321246007,0.280099975423784,0.516608829270363,-6.44503126599596,"NO"
"EIF2AK3",-0.125081323416692,0.0569481012658228,-1.08081338421277,0.280330949518108,0.516702547055227,-6.44558867838341,"NO"
"SCPEP1",-0.0585929247303534,0.218636181434599,-1.08031852300278,0.280550950627256,0.516775932176602,-6.44611907079833,"NO"
"MTIF3",-0.0890916065217166,0.134789873417722,-1.07685058413199,0.282095997250573,0.51909114726719,-6.44982922695374,"NO"
"DLK1",0.0643232476449042,0.0164742616033755,1.07646090927195,0.282269967461848,0.51909114726719,-6.45024537671509,"NO"
"UMOD",0.0636053927964317,0.0235895569620253,1.07627983410214,0.282350833241568,0.51909114726719,-6.45043870331022,"NO"
"ELN",0.0666624775091074,-0.0029315400843882,1.074875185174,0.282978666109653,0.51990986286297,-6.45193729060253,"NO"
"LGMN",-0.0388200667272043,0.0629841772151898,-1.0744727445173,0.283158718895383,0.51990986286297,-6.45236628627531,"NO"
"EVI5",-0.0790774471524331,0.138361497890295,-1.07337807869515,0.283648868538723,0.520476618662224,-6.45353237473395,"NO"
"EFEMP1",-0.0507377264841323,0.088459282700422,-1.07218841633748,0.284182207246287,0.521121848070556,-6.45479831666783,"NO"
"DYNLT1",-0.091118189303212,-0.136848417721519,-1.07139002181032,0.284540517877368,0.521445498576543,-6.45564711982524,"NO"
"TP73",-0.399518941846248,-3.65571107594937,-1.07088240525102,0.284768489972747,0.52153003144434,-6.45618645882608,"NO"
"NDUFB7",-0.0601569544599996,0.201450949367089,-1.06983019196076,0.285241436737048,0.522062821035006,-6.45730361794912,"NO"
"NFATC3",0.0645275716119017,-0.0278397679324894,1.06764980984336,0.286223165775581,0.523402479996129,-6.45961510120253,"NO"
"CPXM2",0.0516792789793427,0.000915189873417713,1.06706180577612,0.286488309411674,0.523402479996129,-6.46023765710298,"NO"
"LY9",-0.0396922241799689,-0.0361447257383967,-1.06698959248806,0.286520883400949,0.523402479996129,-6.46031409019978,"NO"
"LILRA6",0.0913589087370112,-0.0510308016877637,1.06644449203091,0.286766848419916,0.523518345810514,-6.46089087770564,"NO"
"CHRDL1",0.0513415394305414,-0.0266552742616034,1.06581796812478,0.287049730660355,0.523557137278987,-6.46155345954793,"NO"
"LARP1",-0.088297615512892,-0.0198912447257384,-1.06558891052838,0.287153199769821,0.523557137278987,-6.46179560322127,"NO"
"CD79B",-0.0607269135908886,0.0561233122362869,-1.06485202220537,0.287486235712865,0.523706206289085,-6.4625742386964,"NO"
"DCUN1D1",0.122828312116292,-0.454144936708861,1.06460006918003,0.287600165587625,0.523706206289085,-6.4628403427178,"NO"
"SORCS2",0.0834370723236594,-0.159489556962025,1.06383366979387,0.287946909236456,0.524001786431478,-6.46364940186046,"NO"
"DBNL",-0.108479287394754,0.177476687763713,-1.06343387816142,0.288127900000851,0.524001786431478,-6.46407121679086,"NO"
"COL18A1",0.0324837109754455,-0.0255957805907173,1.06179554913277,0.28887039618584,0.524504316616913,-6.46579814816484,"NO"
"PTRHD1",0.074694808037929,0.207849578059072,1.06166349260916,0.288930300924665,0.524504316616913,-6.46593723102654,"NO"
"AIF1L",-0.0552970197097117,0.190950843881857,-1.06161375357224,0.288952866197602,0.524504316616913,-6.46598961206751,"NO"
"GLA",0.037152991418272,0.0594106540084388,1.06094173722177,0.28925785884848,0.524725831231778,-6.46669708470445,"NO"
"TNFAIP8L2",-0.0629179066812354,0.195382172995781,-1.06006069631708,0.28965804613705,0.5251196436922,-6.46762393483295,"NO"
"KCNIP4",0.0908775368075701,-0.0844098101265825,1.05904031872688,0.290121990270706,0.52562847005457,-6.4686964086731,"NO"
"MSRA",-0.0705824882520944,0.121037552742616,-1.05764881290769,0.290755486842755,0.526172763502963,-6.47015730232073,"NO"
